"ID","OwnerID","LeagueID","DraftID","LeagueYear","BidBalance"
85,26,1,29,2011,0
86,20,1,29,2011,1
87,4,1,29,2011,2
88,21,1,29,2011,4
89,19,1,29,2011,0
90,28,1,29,2011,1
91,27,1,29,2011,0
92,24,1,29,2011,0
93,23,1,29,2011,4
94,29,1,29,2011,13
95,30,1,29,2011,0
96,22,1,29,2011,1
148,26,1,37,2012,3
149,20,1,37,2012,0
150,4,1,37,2012,7
151,21,1,37,2012,3
152,19,1,37,2012,1
153,28,1,37,2012,0
154,27,1,37,2012,5
155,24,1,37,2012,0
156,23,1,37,2012,7
157,29,1,37,2012,0
158,30,1,37,2012,0
159,22,1,37,2012,0
160,26,1,38,2013,0
161,20,1,38,2013,0
162,4,1,38,2013,0
163,21,1,38,2013,0
164,19,1,38,2013,2
165,28,1,38,2013,0
166,27,1,38,2013,11
167,24,1,38,2013,17
168,23,1,38,2013,0
169,29,1,38,2013,0
170,30,1,38,2013,0
171,22,1,38,2013,0
172,26,1,39,2014,4
173,20,1,39,2014,0
174,4,1,39,2014,6
175,21,1,39,2014,6
176,19,1,39,2014,0
177,28,1,39,2014,0
178,27,1,39,2014,3
179,24,1,39,2014,0
180,23,1,39,2014,1
181,29,1,39,2014,0
182,30,1,39,2014,16
183,22,1,39,2014,0
1172,26,1,1039,2015,0
1173,20,1,1039,2015,0
1174,4,1,1039,2015,0
1175,21,1,1039,2015,0
1176,19,1,1039,2015,0
1177,28,1,1039,2015,0
1178,27,1,1039,2015,0
1179,24,1,1039,2015,0
1180,23,1,1039,2015,4
1181,29,1,1039,2015,2
1182,30,1,1039,2015,2
1183,22,1,1039,2015,0
